Date,Ticker,Cumulative_Return,Sector,Company Name,Benchmark (KLCI),ESG Group (F4GBM),Volatility_Risk
2021-12-15,0097.KL,0.3535112819649884,,ViTrox,No,Yes,0.4320545161161123
2021-12-16,0097.KL,0.35765448254633836,,ViTrox,No,Yes,0.4320545161161123
2021-12-17,0097.KL,0.3687036857096535,,ViTrox,No,Yes,0.4320545161161123
2021-12-20,0097.KL,0.33969967776888677,,ViTrox,No,Yes,0.4320545161161123
2021-12-21,0097.KL,0.3521299477926523,,ViTrox,No,Yes,0.4320545161161123
2021-12-22,0097.KL,0.3645602178164171,,ViTrox,No,Yes,0.4320545161161123
2021-12-23,0097.KL,0.37560928732378973,,ViTrox,No,Yes,0.4320545161161123
2021-12-24,0097.KL,0.3797526215610829,,ViTrox,No,Yes,0.4320545161161123
2021-12-27,0097.KL,0.38389595579837565,,ViTrox,No,Yes,0.4320545161161123
2021-12-28,0097.KL,0.39632609216619796,,ViTrox,No,Yes,0.4320545161161123
2021-12-29,0097.KL,0.385277156314769,,ViTrox,No,Yes,0.4320545161161123
2021-12-30,0097.KL,0.3778490936189045,,ViTrox,No,Yes,0.4320545161161123
2021-12-31,0097.KL,0.3764669575109094,,ViTrox,No,Yes,0.4320545161161123
2022-01-03,0097.KL,0.3598829280862861,,ViTrox,No,Yes,0.4320545161161123
2022-01-04,0097.KL,0.3778490936189045,,ViTrox,No,Yes,0.4320545161161123
2022-01-05,0097.KL,0.3612651978502244,,ViTrox,No,Yes,0.4320545161161123
2022-01-06,0097.KL,0.3515909133739745,,ViTrox,No,Yes,0.4320545161161123
2022-01-07,0097.KL,0.3585009256342342,,ViTrox,No,Yes,0.4320545161161123
2022-01-10,0097.KL,0.32118726039666146,,ViTrox,No,Yes,0.4320545161161123
2022-01-11,0097.KL,0.2645254271744184,,ViTrox,No,Yes,0.4320545161161123
2022-01-12,0097.KL,0.2645254271744184,,ViTrox,No,Yes,0.4320545161161123
2022-01-13,0097.KL,0.272817308230787,,ViTrox,No,Yes,0.4320545161161123
2022-01-14,0097.KL,0.17469566875887232,,ViTrox,No,Yes,0.4320545161161123
2022-01-17,0097.KL,0.14290974601762096,,ViTrox,No,Yes,0.4320545161161123
2022-01-19,0097.KL,0.12494398145283214,,ViTrox,No,Yes,0.4320545161161123
2022-01-20,0097.KL,0.12632571659299763,,ViTrox,No,Yes,0.4320545161161123
2022-01-21,0097.KL,0.10421401150002474,,ViTrox,No,Yes,0.4320545161161123
2022-01-24,0097.KL,0.07795609856698116,,ViTrox,No,Yes,0.4320545161161123
2022-01-25,0097.KL,0.07795609856698116,,ViTrox,No,Yes,0.4320545161161123
2022-01-26,0097.KL,0.09868593486384536,,ViTrox,No,Yes,0.4320545161161123
2022-01-27,0097.KL,0.07795609856698116,,ViTrox,No,Yes,0.4320545161161123
2022-01-28,0097.KL,0.0917760562595289,,ViTrox,No,Yes,0.4320545161161123
2022-01-31,0097.KL,0.12494398145283214,,ViTrox,No,Yes,0.4320545161161123
2022-02-03,0097.KL,0.08901191769948191,,ViTrox,No,Yes,0.4320545161161123
2022-02-04,0097.KL,0.08624804645132111,,ViTrox,No,Yes,0.4320545161161123
2022-02-07,0097.KL,0.10144987293997776,,ViTrox,No,Yes,0.4320545161161123
2022-02-08,0097.KL,0.1125059593843647,,ViTrox,No,Yes,0.4320545161161123
2022-02-09,0097.KL,0.12217984289278516,,ViTrox,No,Yes,0.4320545161161123
2022-02-10,0097.KL,0.1387636050055221,,ViTrox,No,Yes,0.4320545161161123
2022-02-11,0097.KL,0.12632571659299763,,ViTrox,No,Yes,0.4320545161161123
2022-02-14,0097.KL,0.10974182082431772,,ViTrox,No,Yes,0.4320545161161123
2022-02-15,0097.KL,0.0848659771712974,,ViTrox,No,Yes,0.4320545161161123
2022-02-16,0097.KL,0.10559581346816183,,ViTrox,No,Yes,0.4320545161161123
2022-02-17,0097.KL,0.1332357288532573,,ViTrox,No,Yes,0.4320545161161123
2022-02-18,0097.KL,0.07519202683490556,,ViTrox,No,Yes,0.4320545161161123
2022-02-21,0097.KL,0.07104601947874967,,ViTrox,No,Yes,0.4320545161161123
2022-02-22,0097.KL,0.029586280057049663,,ViTrox,No,Yes,0.4320545161161123
2022-02-23,0097.KL,0.05999013351827753,,ViTrox,No,Yes,0.4320545161161123
2022-02-24,0097.KL,0.07104601947874967,,ViTrox,No,Yes,0.4320545161161123
2022-02-25,0097.KL,0.07519202683490556,,ViTrox,No,Yes,0.4320545161161123
2022-02-28,0097.KL,0.026822275152945663,,ViTrox,No,Yes,0.4320545161161123
2022-03-01,0097.KL,0.04202410164160231,,ViTrox,No,Yes,0.4320545161161123
2022-03-02,0097.KL,0.018530260440634327,,ViTrox,No,Yes,0.4320545161161123
2022-03-03,0097.KL,0.00747424082421877,,ViTrox,No,Yes,0.4320545161161123
2022-03-04,0097.KL,0.0019462978439825918,,ViTrox,No,Yes,0.4320545161161123
2022-03-07,0097.KL,-0.06024347835849653,,ViTrox,No,Yes,0.4320545161161123
2022-03-08,0097.KL,-0.18462296393548316,,ViTrox,No,Yes,0.4320545161161123
2022-03-09,0097.KL,-0.10723129441637591,,ViTrox,No,Yes,0.4320545161161123
2022-03-10,0097.KL,-0.10032114850017304,,ViTrox,No,Yes,0.4320545161161123
2022-03-11,0097.KL,-0.07129943114694037,,ViTrox,No,Yes,0.4320545161161123
2022-03-14,0097.KL,-0.10584929196432391,,ViTrox,No,Yes,0.4320545161161123
2022-03-15,0097.KL,-0.14592722941788694,,ViTrox,No,Yes,0.4320545161161123
2022-03-16,0097.KL,-0.10584929196432391,,ViTrox,No,Yes,0.4320545161161123
2022-03-17,0097.KL,-0.002199709512173187,,ViTrox,No,Yes,0.4320545161161123
2022-03-18,0097.KL,0.0019462978439825918,,ViTrox,No,Yes,0.4320545161161123
2022-03-21,0097.KL,0.057226128614173755,,ViTrox,No,Yes,0.4320545161161123
2022-03-22,0097.KL,0.07933803419106145,,ViTrox,No,Yes,0.4320545161161123
2022-03-23,0097.KL,0.11941590481665276,,ViTrox,No,Yes,0.4320545161161123
2022-03-24,0097.KL,0.10836008568415201,,ViTrox,No,Yes,0.4320545161161123
2022-03-25,0097.KL,0.11526996428846847,,ViTrox,No,Yes,0.4320545161161123
2022-03-28,0097.KL,0.0848659771712974,,ViTrox,No,Yes,0.4320545161161123
2022-03-29,0097.KL,0.07933803419106145,,ViTrox,No,Yes,0.4320545161161123
2022-03-30,0097.KL,0.1125059593843647,,ViTrox,No,Yes,0.4320545161161123
2022-03-31,0097.KL,0.1332357288532573,,ViTrox,No,Yes,0.4320545161161123
2022-04-01,0097.KL,0.10559581346816183,,ViTrox,No,Yes,0.4320545161161123
2022-04-04,0097.KL,0.11941590481665276,,ViTrox,No,Yes,0.4320545161161123
2022-04-05,0097.KL,0.14290974601762096,,ViTrox,No,Yes,0.4320545161161123
2022-04-06,0097.KL,0.1332357288532573,,ViTrox,No,Yes,0.4320545161161123
2022-04-07,0097.KL,0.10559581346816183,,ViTrox,No,Yes,0.4320545161161123
2022-04-08,0097.KL,0.11941590481665276,,ViTrox,No,Yes,0.4320545161161123
2022-04-11,0097.KL,0.03649622548933773,,ViTrox,No,Yes,0.4320545161161123
